Key,English
modRoboticDroneWeaponMod,Robotic Drone Machine Gun Mod
modRoboticDroneWeaponModSchematic,Robotic Drone Machine Gun Mod Schematic
modRoboticDroneWeaponModDesc,This robotic drone modification upgrades your drone with a machine gun that fires Robotic Turret Ammo at enemies.
modRoboticDroneShotgunWeaponMod,Robotic Drone Shotgun Mod
modRoboticDroneShotgunWeaponModSchematic,Robotic Drone Shotgun Mod Schematic
modRoboticDroneShotgunWeaponModDesc,This robotic drone modification upgrades your drone with a shotgun that fires Robotic Turret Shells at enemies.
modRoboticDroneStunWeaponMod,Robotic Drone Stun Weapon Mod
modRoboticDroneStunWeaponModSchematic,Robotic Drone Stun Weapon Mod Schematic
modRoboticDroneStunWeaponModDesc,This robotic drone modification upgrades your drone with a rod that stuns enemies.
modRoboticDroneRifleWeaponMod,Robotic Drone Rifle Weapon Mod
modRoboticDroneRifleWeaponModSchematic,Robotic Drone Rifle Weapon Mod Schematic
modRoboticDroneRifleWeaponModDesc,This robotic drone modification upgrades your drone with a rifle that fires AP Robotic Turret Ammo at enemies.
entitycommand_holdfire,Hold your fire
entitycommand_fireatwill,Fire at will
entitycommand_targetClose,Target nearest enemy
entitycommand_targetLock,Lock on target
entitycommand_targetPlayer,Target player's target
entitycommand_targetSleepers,Target Sleepers
entitycommand_ignoreSleepers,Ignore Sleepers
