Key,File,Type,Context / Alternate Text,UsedInMainMenu,NoTranslate,english,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
mushroom01,,,Mushroom in POI,false,,Small Mushroom,Kleiner Pilz,Hongo pequeño,Petit champignon,Fungo piccolo,小さなキノコ,작은 버섯,Mały grzyb,Cogumelo pequeno,Маленький гриб,Küçük Mantar,小蘑菇,小蘑菇
mushroom02,,,Mushroom in POI,false,,Large Mushroom,Großer Pilz,Hongo grande,Grand champignon,Fungo grande,大きなキノコ,큰 버섯,Duży grzyb,Cogumelo grande,Большой гриб,Büyük Mantar,大蘑菇,大蘑菇
plantedAloe3Harvest,,,Wild Aloe,false,,Aloe,Aloe,Aloe vera,Aloe vera,Aloe vera,アロエ,알로에베라,Aloes,Babosa,Алоэ,Aloe Vera,芦荟,蘆薈
plantedBlueberry3Harvest,,,Wild Blueberries,false,,Blueberries,Heidelbeeren,Arándanos,Myrtilles,Mirtilli,ブルーベリー,블루베리,Jagody,Amoras silvestres,Черника,Yaban Mersini,蓝莓,藍莓
plantedChrysanthemum3Harvest,,,Wild Chrysanthemums,false,,Chrysanthemums,Chrysanthemen,Crisantemos,Chrysanthèmes,Crisantemi,菊,국화,Chryzantemy,Crisântemos,Хризантемы,Krizantem,菊花,菊花
plantedCoffee3Harvest,,,Wild Coffee,false,,Coffee,Kaffee,Café,Café,Caffè,コーヒー,커피,Kawa,Café,Кофе,Kahve,咖啡,咖啡
plantedCorn3Harvest,,,Wild Corn,false,,Corn,Mais,Maíz,Maïs,Mais,トウモロコシ,옥수수,Kukurydza,Milho,Кукуруза,Mısır,玉米,玉米
plantedCotton3Harvest,,,Wild Cotton,false,,Cotton,Baumwolle,Algodón,Coton,Cotone,綿,목화,Bawełna,Algodão,Хлопок,Pamuk,棉花,棉花
plantedGoldenrod3Harvest,,,Wild Goldenrod,false,,Goldenrod,Goldrute,Vara de oro,Verge d'or,Verga d'oro,ゴールデンロッド,골든로드,Złocień,Rododendro selvagem,Золотарник,Altınbaşak,秋麒麟花,秋麒麟花
plantedGraceCorn3Harvest,,,Wild Super Corn,false,,Super Corn,Supermais,Maíz superior,Maïs supérieur,Mais superiore,スーパートウモロコシ,슈퍼 옥수수,Super kukurydza,Milho superior,Суперкукуруза,Süper Mısır,超级玉米,超級玉米
plantedHop3Harvest,,,Wild Hops,false,,Hops,Hopfen,Lúpulo,Houblon,Luppolo,ホップ,홉,Chmiel,Lúpulo,Хмель,Şerbetçiotu,啤酒花,啤酒花
